restaurant	Shojin Cuisine (Buddhist Cuisine), 
Kaiseki (Traditional Japanese), 
Café / Coffee shop (and others) 
activity	Event
restaurant	Sushi
activity	Marketplace
restaurant	Kappo (Traditional Japanese)
restaurant	Artisanal experience
restaurant	Sukiyaki, Shabu Shabu, Steak
accommodation	Ryokan
accommodation	Luxury Japanese Inn (Ryokan)
restaurant	Japanese-French Cuisine
activity	Shrine
restaurant	Cafe, Boneless deep-fried chicken
activity	Nature
restaurant	Teppanyaki, Steak
activity	Shopping
accommodation	Luxury Hotel
activity	Museum
restaurant	Sukiyaki, Hamburger Steak, Beef dishes
accommodation	Luxury hotel
restaurant	Kappo (Traditional Japanese)
restaurant	Ryokan restaurant
restaurant	Ryokan restaurant
accommodation	Luxury Ryokan
activity	Arts
restaurant	Western
restaurant	Japanese
restaurant	Kaiseki (Traditional Japanese), Kyoto Cuisine
restaurant	Japanese Buffet
restaurant	Italian, Japanese
restaurant	Hotel Breakfast
restaurant	Japanese
accommodation	Luxury Hotel
accommodation	Hotel
accommodation	Western
accommodation	Ryokan
accommodation	Luxury hotel
accommodation	Japanese and Western
restaurant	Western
accommodation	Western
restaurant	Kaiseki (Traditional Japanese)
restaurant	French
restaurant	Yakiniku (BBQ Beef), Bento (Lunch box)
restaurant	Innovative Fusion, French cuisine
restaurant	Kaiseki (Traditional Japanese)
restaurant	Kaiseki (Traditional Japanese)
restaurant	Teppanyaki, Steak
restaurant	Kappo (Traditional Japanese)
restaurant	Wagyu, Kushiyaki
restaurant	Unagi
activity	Farming
activity	Themed Cafe
activity	Heritage Site
activity	Cultural Site
activity	Historical Site
activity	Temple
activity	Temple
activity	Temple
activity	Historical Site
activity	Temple
activity	Shrine
restaurant	Other
restaurant	Traditional Japanese cuisine
restaurant	Tonkatsu (Pork cutlet), Katsu-don (Pork Cutlet Bowl), Bento (Lunch box)
restaurant	Omelette rice
restaurant	Farmer's Market
restaurant	Chinese
restaurant	Japanese Cuisine
restaurant	Sushi
restaurant	Sushi, Seafood rice bowl
activity	Shopping
restaurant	Chinese
restaurant	Creative cuisine
activity	Farm
activity	Farm
activity	Farm
activity	Museum
restaurant	Japanese sweets
restaurant	Kappo (Traditional Japanese), Seafood
restaurant	Seafood, Sushi
activity	Craftsmanship
restaurant	Sushi
activity	Historical Site
activity	Temple
activity	Geishas
activity	Geishas
activity	Castles
activity	Cultural Site
activity	Temple
activity	Temple
activity	Temple
activity	Temple
activity	Shrine
activity	Temple
activity	Craftsmanship
activity	Arts
activity	Craftsmanship
activity	Food sample, Craft
activity	Farm
activity	Craftsmanship
activity	Castle
activity	Marketplace
restaurant	Japanese, Soba
activity	Shrine
activity	Premium Outlet
restaurant	Japanese
accommodation	Luxury hotel
restaurant	Japanese-French Cuisine
restaurant	Japanese
restaurant	Japanese Cuisine
restaurant	Japanese Cuisine
activity	Temple
activity	Shopping
restaurant	Tonkatsu (Pork cutlet), Katsu-don (Pork Cutlet Bowl), Bento (Lunch box)
activity	Onsen
activity	Onsen
activity	Zen Cuisine
restaurant	Italian
restaurant	Japanese Cuisine
accommodation	Luxury hotel
activity	Shopping
activity	Shopping
activity	Shopping
activity	Fishing
activity	Shopping
restaurant	Cantonese Cuisine
restaurant	Japanese Cuisine
restaurant	Italian Cuisine
restaurant	Japanese Cuisine
accommodation	Luxury Traditional Japanese Inn (Ryokan)
restaurant	Home-style Cuisine
activity	Food Market
restaurant	Steak, Teppanyaki
restaurant	Japanese Steamboat
accommodation	Modern Hotel
restaurant	Hotel Restaurant
restaurant	Seafood restaurant
accommodation	Modern luxury ryokan
activity	Artisanal experience
accommodation	Luxury Hotel
accommodation	Traditional inn
accommodation	Neoclassical luxury hotel
restaurant	French
restaurant	Japanese Tempura
activity	Nature Activity
accommodation	Onsen Resort
activity	Amusement park
activity	Traditional village
accommodation	Luxury Ryokan Hotel
restaurant	Japanese Cuisine
accommodation	Luxury Ryokan
accommodation	City Hotel
accommodation	Luxury traditional ryokan
activity	Department store
restaurant	Sushi
restaurant	Wagyu steakhouse
activity	Public park
activity	Public park
activity	Public park
activity	Public park
accommodation	Traditional ryokan
activity	Castle
activity	Public park
activity	Artisanal experience
activity	Museum
activity	Private residence
restaurant	Kaiseiki
activity	Public park
activity	Artisanal experience
activity	Farm
activity	Farm
accommodation	Traditional villa
activity	Performance
restaurant	Kaiseki, Kappo
restaurant	Shabu Shabu
accommodation	Onsen Resort
restaurant	Ramen
activity	Natural
activity	Soy Sauce Artisanal food
restaurant	Anago
activity	Castle
accommodation	Machiya
restaurant	Western breakfast
activity	Castle
activity	Shopping
accommodation	Luxury Hotel
activity	Market
activity	Temple
activity	Nature Activity
activity	Temple
activity	Public park
accommodation	Luxury Hotel
restaurant	French
activity	Artisanal experience
activity	Tea farm
activity	Arts
activity	Nature Activity
activity	Public park
accommodation	Traditional hotspring inn
accommodation	Traditional hotspring inn
restaurant	Ryokan restaurant
activity	Public park
restaurant	French
activity	Railway
activity	Public park
restaurant	Teppanyaki, Sukiyaki, Kaiseki
activity	Sports
activity	Fruit farm
activity	Old streetscape
activity	Waterfall
activity	Cave
activity	Nature Activity
activity	Waterfall
activity	Traditional village
activity	Traditional village
restaurant	Traditional teahouse
activity	Traditional streetscape
restaurant	Sushi
restaurant	Seafood
activity	Public park
activity	Rice terraces
activity	Rice terraces
activity	Artisanal experience
activity	Cave
activity	Beach
accommodation	Modern ryokan
activity	Gorge
activity	Mountain
activity	Public park
activity	Public park
activity	Traditional village
accommodation	Traditional ryokan
restaurant	Ryokan restaurant
activity	Public park
activity	Public park
activity	Lake
activity	School
restaurant	Unagi
activity	Mountain
activity	Nature Activity
activity	Volcano
activity	Brewery
activity	Artisanal experience
activity	Geisha house
activity	Scenery
accommodation	Onsen Ryokan
activity	Artisanal experience
restaurant	Road-side
restaurant	Kaiseiki
restaurant	Organic vegan
activity	Beach
activity	Walking trail
activity	Walk
accommodation	Modern ryokan
activity	Train station
activity	Artisanal experience
restaurant	Ryokan restaurant
activity	Artisanal experience
activity	Castle ruins town
accommodation	Traditional ryokan
restaurant	Ryokan restaurant
accommodation	Western City Hotel
restaurant	French
accommodation	City Hotel
activity	Artisanal experience
restaurant	Italian
restaurant	Kaiseki, Kappo
activity	Water Fall
restaurant	Tempura
activity	Fruits
activity	Milk factory
accommodation	Auberge
restaurant	Japanese fusion
restaurant	Hot Pot
activity	Public park
activity	Public park
activity	Lake
activity	Bridge
activity	Bridge
activity	Castle
restaurant	Sushi
restaurant	French
restaurant	French Bistro, Wine Bar
restaurant	Kappo (Traditional Japanese)
restaurant	Yakiniku
activity	Factory visit
restaurant	Sushi
activity	Factory visit, artisanal experience
restaurant	French
restaurant	Shabu Shabu
accommodation	Hotel
activity	Research center
activity	Museum
activity	Historical landscape
room-amenities	Non-smoking
room-amenities	Suite
room-amenities	View from the bath
room-amenities	Ocean View
room-amenities	Bath and toilet are separated
room-amenities	Hotspring with open air bath
room-amenities	With air purifier
room-amenities	Free Internet Available (Wi-Fi)
room-amenities	Non-smoking
room-amenities	Suite
room-amenities	View from the bath
room-amenities	Ocean View
room-amenities	Bath and toilet are separated
room-amenities	Hotspring with open air bath
room-amenities	With air purifier
room-amenities	Free Internet Available (Wi-Fi)
room-amenities	Non-smoking
room-amenities	Suite
room-amenities	View from the bath
room-amenities	Ocean View
room-amenities	Night View
room-amenities	Special Room · VIP Room
room-amenities	Bath and toilet are separated
room-amenities	Hotspring with open air bath
room-amenities	With air purifier
room-amenities	Power outlet by the bedside
room-amenities	Mobile phone charger rental available
room-amenities	Free Internet Available (Wi-Fi)
room-amenities	Suite
room-amenities	Corner room
room-amenities	High floor
room-amenities	View from the bath
room-amenities	Night View
room-amenities	Bath and toilet are separated
room-amenities	Bath with washroom
room-amenities	With shower cubicle
room-amenities	Bedside power outlet available
room-amenities	Cleaning toilet
room-amenities	Free pool access
room-amenities	Free gym access
room-amenities	Free Internet Available (Wi-Fi)
room-amenities	High floor
room-amenities	View from the bath
room-amenities	Night View
room-amenities	Bath and toilet are separated
room-amenities	Bath with washroom
room-amenities	With shower cubicle
room-amenities	Bedside power outlet available
room-amenities	Cleaning toilet
room-amenities	Free pool access
room-amenities	Free gym access
room-amenities	Free Internet Available (Wi-Fi)
room-amenities	With open-air bath
room-amenities	Club Floor
room-amenities	Special Room · VIP Room
room-amenities	Balcony with terrace
room-amenities	View from the bath
room-amenities	Bath and toilet are separated
room-amenities	Bath with washroom
room-amenities	Cleaning toilet
room-amenities	Private lounge available
room-amenities	Free Internet available (wired)
room-amenities	Non-smoking
room-amenities	Corner room
room-amenities	Balcony with terrace
room-amenities	View from the bath
room-amenities	Bath and toilet are separated
room-amenities	Bath with washroom
room-amenities	Cleaning toilet
room-amenities	With humidifier
room-amenities	With air purifier
room-amenities	Free Internet available (wi-fi)
room-amenities	Free WiFi
room-amenities	Flat-screen TV
room-amenities	Private bathroom with hot spring water bathtub and separate shower
room-amenities	Washlet toilet separate from bathroom
room-amenities	Desk
room-amenities	Safe
room-amenities	Air-conditioner / heater
room-amenities	Complimentary phone charger rental
room-amenities	Non-smoking
room-amenities	Free Wifi
room-amenities	Flat-screen TV (with satellite channels)
room-amenities	Safe
room-amenities	Hair-dryer
room-amenities	River-view
room-amenities	Free Wifi
room-amenities	Non-smoking
room-amenities	Japanese toilet with washlet
room-amenities	Outdoor hot spring bath
room-amenities	Separate bathroom and toilet areas
room-amenities	Non-smoking
room-amenities	Free Wifi
room-amenities	Flat-screen TV
room-amenities	Refrigerator
room-amenities	Flat-screen TV
room-amenities	Refrigerator
room-amenities	Air Conditioning & Heating
room-amenities	Seating Area
room-amenities	Desk
room-amenities	Electric kettle
room-amenities	Japanese tea set
room-amenities	Telephone
room-amenities	Safety Deposit Box
room-amenities	Linen
room-amenities	Carpeted
room-amenities	Night gown
room-amenities	Shower
room-amenities	Bath
room-amenities	Toilet
room-amenities	Hairdryer
room-amenities	Slippers
room-amenities	Towels
room-amenities	Shaving foam
room-amenities	Bathroom amenities (shampoos, cotton buds, body wash towel, toothbrush kit etc.)
room-amenities	POLA skincare cosmetics
room-amenities	Free Wifi
room-amenities	Ocean-view
room-amenities	Shower bath
room-amenities	Free Wifi
room-amenities	Separate bathroom and toilet areas
room-amenities	Bathroom with a view
room-amenities	Outdoor hot spring bath
room-amenities	Japanese toilet with washlet
room-amenities	Free Wifi
room-amenities	Jacuzzi
room-amenities	Japanese toilet with washlet
room-amenities	DVD player
room-amenities	Refrigerator
room-amenities	Free Wifi
room-amenities	Japanese toilet with washlet
room-amenities	Separate bathroom and toilet area
room-amenities	Washing machine
room-amenities	Air purifier
room-amenities	Humidifier
room-amenities	Bidet
room-amenities	Balcony
room-amenities	Suite
room-amenities	Non-smoking
room-amenities	Wifi
room-amenities	Therma room
room-alerts	Some units have stairs leading to the cottages
room-amenities	Washlet
room-amenities	Bidet
room-amenities	Humidifier
room-amenities	Air purifier
room-amenities	Balcony
room-amenities	Wifi
room-amenities	Suite
room-amenities	Hinoki Bath
room-amenities	Non-smoking
room-amenities	Therma Room
room-amenities	Free Wifi
room-amenities	Separate bathroom and toilet
room-amenities	Toilet with washlet function
room-amenities	Non-smoking
room-amenities	Humidifier
room-alerts	Bedroom and toilet / bathroom on separate floor
room-alerts	Outdoor shower area
room-amenities	Free Wifi
room-amenities	Non-smoking
room-amenities	Toilet with washlet
room-amenities	Air purifier
room-amenities	Air humidifier
room-amenities	Free Wifi
room-amenities	Non-smoking
room-amenities	Toilet with washlet
room-amenities	Air purifier
room-amenities	Air humidifier
room-amenities	Free Wifi
room-amenities	Non-smoking
room-alerts	No en-suite bathroom
room-alerts	No en-suite toilet
room-amenities	Free Wifi
room-amenities	Toilet with washlet
room-amenities	Non-smoking
room-amenities	Air purifier
room-amenities	Humidifier
room-amenities	Phone charger rental
room-amenities	Free Wifi
room-amenities	Non-smoking
room-amenities	Toilet with washlet
room-amenities	Humidifier
room-amenities	Free Wifi
room-amenities	Non-smoking
room-amenities	Corner room
room-amenities	Toilet with washlet
room-amenities	Humidifier
